Session,RC,RT,MC,LT,JP,AD,Volume(%)
15,M,0.496968722771499,2,Y,R,34,67
15,M,0.552174683772591,1,Y,R,80,90
15,M,0.721067812396768,2,Y,R,34,67
15,M,0.496676982243343,5,Y,L,80,90
15,M,0.487998678003805,4,W,R,34,67
15,M,0.803211248985917,3,W,L,0,50
15,M,0.497248445152309,2,W,L,34,67
15,M,0.878030225640714,2,Y,R,34,67
15,M,0.522243788120022,5,Y,L,80,90
15,M,0.47493044497196,1,W,L,80,90
15,M,0.569359733197189,5,Y,L,80,90
15,G,0.591828861580979,4,W,R,34,67
15,G,0.675169606105214,5,W,R,80,90
15,G,0.520727999278904,1,Y,R,80,90
15,G,0.892967280593666,3,W,R,0,50
15,G,0.622733527626735,2,Y,R,34,67
15,G,0.543906498813215,2,Y,R,34,67
15,G,0.813898386563721,3,W,R,0,50
15,G,0.822618453865346,3,Y,L,0,50
15,G,0.82734849622932,3,W,R,0,50
15,G,0.991140221734838,2,W,L,34,67
15,G,0.519557131268243,2,Y,R,34,67
15,G,0.527764624583142,2,W,L,34,67
15,G,0.41256256947986,4,W,R,34,67
15,G,0.513485863654182,3,W,R,0,50
15,G,0.953594928341772,1,W,L,80,90
15,G,0.638695730553081,3,Y,R,0,50
15,G,0.780757143286337,5,Y,L,80,90
15,G,0.452558663582067,5,Y,L,80,90
15,G,0.607361115284107,3,W,L,0,50
15,G,0.678982663822353,1,Y,R,80,90
15,G,0.453185710422758,5,Y,L,80,90
15,G,0.753366883994772,4,Y,L,34,67
15,G,0.621853198329404,2,W,L,34,67
15,G,0.713576300213276,4,Y,L,34,67
15,G,0.490047171228525,1,W,L,80,90
15,G,0.773608148303879,3,Y,R,0,50
15,G,0.636409578463486,3,W,R,0,50
15,G,0.436229306252471,5,W,R,80,90
15,G,0.471827960220025,4,Y,L,34,67
15,G,0.485723041793108,1,Y,R,80,90
15,G,0.704936153591916,2,Y,R,34,67
15,G,0.469626235615806,4,Y,L,34,67
15,G,0.404752576390365,1,Y,R,80,90
15,G,1.0382892167172,1,W,L,80,90
15,G,0.792189105549369,3,Y,L,0,50
15,G,0.421891355947537,5,Y,L,80,90
15,G,0.508276297208795,4,W,R,34,67
15,G,0.471298560826881,5,Y,L,80,90
15,G,0.471301865817395,5,Y,L,80,90
15,G,0.495933659826505,2,W,L,34,67
15,G,0.804367995673374,3,W,R,0,50
15,G,0.652934230688288,5,W,R,80,90
15,G,0.861967070276023,3,W,R,0,50
15,G,0.619013009644505,5,W,R,80,90
15,G,0.586370219030641,5,W,R,80,90
15,G,0.60322777393867,2,Y,R,34,67
15,G,0.512103476249195,1,Y,R,80,90
15,G,0.443740347925313,5,W,R,80,90
15,G,0.62606285491097,2,Y,R,34,67
15,G,0.695198149205225,2,W,L,34,67
15,G,0.435638614307436,5,W,R,80,90
15,G,0.457243637893271,5,W,R,80,90
15,G,0.46192470630649,5,W,R,80,90
15,G,0.596333263227507,2,Y,R,34,67
15,G,0.888825826998755,2,W,L,34,67
